trial,key,time,id,type,shadow,setsize,stimulus
464,right,496.941834688187,1,gradient,TRUE,9,present
465,right,531.368613243103,1,gradient,TRUE,9,present
466,right,676.047563552856,1,gradient,TRUE,9,present
467,right,1047.39606380463,1,gradient,TRUE,9,present
468,right,574.535369873047,1,gradient,TRUE,9,present
469,right,720.674514770508,1,gradient,TRUE,9,present
470,right,1808.49385261536,1,gradient,TRUE,9,present
471,right,1474.45392608643,1,gradient,TRUE,9,absent
472,left,2109.22050476074,1,gradient,TRUE,9,absent
473,left,2240.86833000183,1,gradient,TRUE,9,absent
474,left,1440.44244289398,1,gradient,TRUE,9,absent
475,right,640.607833862305,1,gradient,TRUE,9,absent
476,right,573.723196983337,1,gradient,TRUE,9,absent
477,right,745.924055576324,1,gradient,TRUE,9,absent
478,left,1354.74622249603,1,gradient,TRUE,9,absent
479,left,2490.45372009277,1,gradient,TRUE,9,absent
480,left,2771.87991142273,1,gradient,TRUE,9,absent
481,right,633.62717628479,2,flat,FALSE,3,present
482,right,865.096926689148,2,flat,FALSE,3,present
483,right,866.861939430237,2,flat,FALSE,3,present
484,right,915.283799171448,2,flat,FALSE,3,present
485,right,564.761400222778,2,flat,FALSE,3,present
486,right,515.96599817276,2,flat,FALSE,3,present
487,right,1131.85918331146,2,flat,FALSE,3,present
488,right,1016.92759990692,2,flat,FALSE,3,present
489,right,1164.86358642578,2,flat,FALSE,3,present
490,right,597.906887531281,2,flat,FALSE,3,present
491,right,1231.98461532593,2,flat,FALSE,3,present
492,right,514.74404335022,2,flat,FALSE,3,present
493,right,583.821177482605,2,flat,FALSE,3,present
494,right,670.237481594086,2,flat,FALSE,3,present
495,right,533.570051193237,2,flat,FALSE,3,present
496,right,631.962060928345,2,flat,FALSE,3,present
497,right,750.197768211365,2,flat,FALSE,3,present
498,right,682.38240480423,2,flat,FALSE,3,present
499,right,633.561491966248,2,flat,FALSE,3,present
500,right,598.7349152565,2,flat,FALSE,3,present
501,right,931.042313575745,2,flat,FALSE,3,present
502,right,583.742678165436,2,flat,FALSE,3,present
503,right,798.696160316467,2,flat,FALSE,3,present
504,right,665.881216526031,2,flat,FALSE,3,present
505,right,950.064301490784,2,flat,FALSE,3,present
506,right,731.170952320099,2,flat,FALSE,3,present
507,right,831.821203231812,2,flat,FALSE,3,present
508,right,965.557456016541,2,flat,FALSE,3,present
509,right,998.768329620361,2,flat,FALSE,3,present
510,right,1131.92522525787,2,flat,FALSE,3,present
511,left,897.644281387329,2,flat,FALSE,3,absent
512,left,1183.43222141266,2,flat,FALSE,3,absent
513,left,1065.17279148102,2,flat,FALSE,3,absent
514,left,1064.5604133606,2,flat,FALSE,3,absent
515,left,982.466816902161,2,flat,FALSE,3,absent
516,left,998.441815376282,2,flat,FALSE,3,absent
517,left,899.626553058624,2,flat,FALSE,3,absent
518,left,1133.84008407593,2,flat,FALSE,3,absent
519,left,933.652400970459,2,flat,FALSE,3,absent
520,right,831.777930259705,2,flat,FALSE,3,absent
521,right,1066.45596027374,2,flat,FALSE,6,present
522,right,732.272922992706,2,flat,FALSE,6,present
523,right,665.407061576843,2,flat,FALSE,6,present
524,right,749.431192874908,2,flat,FALSE,6,present
525,right,799.845039844513,2,flat,FALSE,6,present
526,right,865.668118000031,2,flat,FALSE,6,present
